1000	0.000773
1100	0.000759
1200	0.000747
1300	0.000733
1400	0.000719
1500	0.000707
1600	0.000695
1700	0.000681
1800	0.000667
1900	0.000655
2000	0.000643
2100	0.000631
2200	0.000619
2300	0.000607
2400	0.000593
2500	0.000579
2600	0.000567
2700	0.000555
2800	0.000541
2900	0.000527
3000	0.000515
3100	0.000503
3200	0.000491
3300	0.000479
3400	0.000467
3500	0.000455
3600	0.000443
3700	0.000431
3800	0.000419
3900	0.000407
4000	0.000395
4100	0.000383
4200	0.000371
4300	0.000359
4400	0.000347
4500	0.000335
4600	0.000323
4700	0.000311
4800	0.000299
4900	0.000287
5000	0.000275
