1000	0.000003195
1100	0.000003185
1200	0.000003175
1300	0.000003165
1400	0.000003155
1500	0.000003145
1600	0.000003135
1700	0.000003125
1800	0.000003115
1900	0.000003105
2000	0.000003095
2100	0.000003085
2200	0.000003075
2300	0.000003065
2400	0.000003055
2500	0.000003045
2600	0.000003035
2700	0.000003025
2800	0.000003015
2900	0.000003005
3000	0.000002995
3100	0.000002985
3200	0.000002975
3300	0.000002965
3400	0.000002955
3500	0.000002945
3600	0.000002935
3700	0.000002925
3800	0.000002915
3900	0.000002905
4000	0.000002895
4100	0.000002885
4200	0.000002875
4300	0.000002865
4400	0.000002835
4500	0.000002825
4600	0.000002815
4700	0.000002805
4800	0.000002795
4900	0.000002785
5000	0.000002775
