30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
20	20	5
10	10	10
30	30	5
